ComplexName	GO description	FunCat description	subunits(Gene name)
"Dynein-2 complex, cytoplasmic"	hedgehog-dependent signalling pathway	intraciliary retrograde transport;cilium;smoothened signaling pathway	DYNLT3;DYNLL1;DYNLT1;NUDCD3;DYNC2H1;DYNC2LI1;DYNLRB2;WDR60;TCTEX1D2;WDR34;DYNLL2;DYNLRB1;
AJUBA-GFI1-HDAC1 complex	transcription repression	"negative regulation of transcription, DNA-templated"	HDAC1;AJUBA;GFI1;
DHDDS-NUS1 complex	"modification with sugar residues (e.g. glycosylation, deglycosylation);endoplasmic reticulum;cholesterol homeostasis"	dolichyl monophosphate biosynthetic process;protein glycosylation;endoplasmic reticulum;cholesterol homeostasis	DHDDS;NUS1;
Fras1-Frem1-Frem2 complex	cell-matrix adhesion	cell-matrix adhesion	FREM1;FREM2;FRAS1;
PMCA1-alpha-1-syntrophin-NOS-1 complex	None	regulation of nitric-oxide synthase activity	ATP2B1;SNTA1;NOS1;
PMCA4-alpha-1-syntrophin-NOS-1 complex	None	regulation of nitric-oxide synthase activity	SNTA1;ATP2B4;NOS1;
14-3-3q-SGK1-tau complex	None	regulation of protein phosphorylation	SGK1;MAPT;YWHAQ;
AJUBA-GFI1-HDAC2 complex	transcription repression	"negative regulation of transcription, DNA-templated"	HDAC2;AJUBA;GFI1;
AJUBA-GFI1-HDAC3 complex	transcription repression	"negative regulation of transcription, DNA-templated"	HDAC3;AJUBA;GFI1;
Telomerase holoenzyme	None	telomerase activity;telomerase holoenzyme complex	TERT;DKC1;SMG6;WRAP53;NOP10;NHP2;GAR1;
BBS4 centriolar satellite complex	None	cilium;intraciliary transport	PCM1;BBS4;CEP131;
BBS-chaperonin complex	None	cilium;chaperone-mediated protein complex assembly;intraciliary transport	TCP1;CCT5;CCT3;CCT8;CCT4;CCT2;BBS12;BBS7;BBS10;MKKS;
CSF3R-FBXW7-GSK3B complex	granulocyte	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process;granulocyte differentiation;granulocyte colony-stimulating factor signaling pathway	GSK3B;FBXW7;CSF3R;
MIB complex	None	mitochondrial crista junction;cristae formation	MTX2;MTX1;IMMT;MINOS1;MIC13;APOOL;CHCHD6;APOO;DNAJC11;CHCHD3;SAMM50;
LPA(2)-NHERF2-PLC-beta3 complex	"regulation of lipid, fatty acid and isoprenoid metabolism"	regulation of lipid metabolic process	PLCB3;SLC9A3R2;LPAR2;
Shc-ERalpha-IGF-1R complex	None	regulation of MAP kinase activity	ESR1;IGF1R;SHC1;
Rabep1-Ap1g1-Ap1s1 complex	None	recycling endosome membrane	RABEP1;AP1G1;AP1S1;
myosin-Vb-Rab11-FIP2-Rab11a complex	"vesicular transport (Golgi network, etc.)"	vesicle-mediated transport	RAB11A;RAB11FIP2;MYO5B;
GPC-4.1R-p55 complex	None	None	GYPC;EPB41;MPP1;
MICOS complex	None	MICOS complex;cristae formation	IMMT;MINOS1;MIC13;APOOL;CHCHD6;APOO;CHCHD3;
ANKS6-NEK8-INVS-NPHP3 complex	kidney	cilium;kidney development	ANKS6;NPHP3;NEK8;INVS;
FXN-ISCU-NFS1-ISD11 complex	mitochondrion	regulation of iron-sulfur cluster assembly;mitochondrion	FXN;LYRM4;ISCU;NFS1;
USH2 complex	None	None	USH2A;GPR98;PDZD7;WHRN;
MPP7-DLG1-LIN7A complex	None	MPP7-DLG1-LIN7 complex	LIN7A;DLG1;MPP7;
Histone-2-Histone-4-ASF1-MCM2 complex	None	chromatin assembly	MCM2;HIST1H4A;;HIST1H3A;;SRSF1;
MPP7-DLG1-LIN7C complex	None	MPP7-DLG1-LIN7 complex	DLG1;MPP7;LIN7C;
DLG5-SORBS3-CTNNB1 complex	intercellular junction (gap junction/adherens junction)	cell-cell junction	SORBS3;CTNNB1;DLG5;
Dlgap1-Dlg4-Begain complex	None	synaptic membrane;postsynaptic density	BEGAIN;DLG4;DLGAP1;
"Ubiquitin E3 ligase (CUL3, KLHL3, WNK4)"	"modification by ubiquitination, deubiquitination;homeostasis"	ligase activity;protein ubiquitination;ion homeostasis;ubiquitin ligase complex	CUL3;WNK4;KLHL3;
Cullin-RING E3 ubiquitin ligase complex	None	None	TCEB1;TCEB2;CUL5;ASB9;
DLL1-CTNNB1-CDH2 complex	None	adherens junction;protein localization to adherens junction	DLL1;CDH2;CTNNB1;
DMTN-SYNE1- complex	None	None	DMTN;SYNE1;
CASQ2-RYR1-ASPH-TRDN complex	None	regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum;sarcoplasmic reticulum	RYR1;CASQ2;TRDN;ASPH;
Lep-Lepr quaternary protein	None	leptin-mediated signaling pathway	LEP;LEPR;
HEXA-HEXB complex	C-compound and carbohydrate metabolism	"beta-N-acetylhexosaminidase activity;carbohydrate metabolic process;glycosphingolipid metabolic process;glycosaminoglycan metabolic process;hydrolase activity, hydrolyzing O-glycosyl compounds"	HEXA;HEXB;
HEXB homodimer	C-compound and carbohydrate metabolism	"beta-N-acetylhexosaminidase activity;carbohydrate metabolic process;glycosphingolipid metabolic process;glycosaminoglycan metabolic process;hydrolase activity, hydrolyzing O-glycosyl compounds"	HEXB;
Rev1-Rev3-Rev7-Polkappa complex	None	regulation of error-prone translesion synthesis	REV3L;POLK;REV1;MAD2L2;
Cd22-Ship-Grb2-Shc complex	None	regulation of calcium ion import	CD22;SHC1;GRB2;INPP5D;
p65-IkappaBalpha-beta-arrestin-iNOS complex	NO mediated signal transduction	nitric oxide mediated signal transduction	RELA;NOS2;ARRB2;NFKBIA;
NUB1L-UFD1-NPL4-NEDD8 complex	None	regulation of protein neddylation	NEDD8;NPLOC4;UFD1L;NUB1;
PAI-1-uPA-uPAR-LRP complex	None	negative regulation of cell migration	PLAU;SERPINE1;PLAUR;LRP1;
G alpha-13-Hax-1-cortactin-Rac complex	cell migration	cell migration	HAX1;AKT1;CTTN;GNA13;
SIVA1-XIAP-TAK1 complex	NIK-I-kappaB/NF-kappaB cascade	I-kappaB kinase/NF-kappaB signaling	SIVA1;MAP3K7;XIAP;
PKA RIbeta holoenzyme	None	cAMP-dependent protein kinase activity;protein kinase activity	PRKACA;PRKAR1B;
Ucp3-Hax-1 complex	mitochondrial inner membrane	mitochondrial inner membrane;response to calcium ion;calcium ion homeostasis	HAX1;UCP3;
SLC2A1-DMTN-ADD2 complex	None	actin binding;membrane part;spectrin binding	SLC2A1;ADD2;DMTN;
RPGR-PDEdelta-Arl3 complex	visual transduction	visual perception;cilium assembly	PDE6D;RPGR;ARL3;
"prohibitin 2 complex, mitochondrial"	apoptosis (type I programmed cell death);apoptotic mitochondrial changes	apoptotic process;apoptotic mitochondrial changes	HAX1;SLC25A5;PHB;VDAC2;PHB2;
"Ubiquitin E3 ligase (DDB1, DYRK2, EDD, VPRBP)"	None	mitotic cell cycle phase transition;protein phosphorylation involved in cellular protein catabolic process	UBR5;DDB1;DYRK2;VPRBP;
"Ubiquitin E3 ligase (DDIT4, DDB1, BTRC, CUL4A)"	"proteasomal degradation (ubiquitin/proteasomal pathway);modification by phosphorylation, dephosphorylation, autophosphorylation"	regulation of TOR signaling;ubiquitin ligase complex;ubiquitin-dependent protein catabolic process;protein phosphorylation;response to hypoxia	CUL4A;DDB1;DDIT4;BTRC;
HAX-1\u2013XIAP complex	apoptosis (type I programmed cell death)	apoptotic process;negative regulation of protein polyubiquitination	HAX1;XIAP;
DDN-MAGI2-SH3KBP1 complex	None	dendritic spine	DDN;MAGI2;SH3KBP1;
DDR1-PRKCZ-WWC1 complex	None	None	PRKCZ;DDR1;WWC1;
CR2-CD19 complex	immune response	immune response	CD19;CR2;
SPATA2-CYLD complex	innate immune response (invertebrates and vertebrates);NIK-I-kappaB/NF-kappaB cascade	protein K63-linked deubiquitination;innate immune response;I-kappaB kinase/NF-kappaB signaling	CYLD;SPATA2;
vWF-GPIb complex	None	regulation of blood coagulation	VWF;GP1BA;
ELK1-SAP1a-SRF complex	transcriptional control	"transcription factor activity, sequence-specific DNA binding;regulation of transcription, DNA-templated"	ELK1;SRF;ELK4;
ELK1-SAP1a-EWS-FLI-FLI complex	transcriptional control	"regulation of transcription, DNA-templated"	ELK1;ELK4;FLI1;EWS-FLI1;
CDKN1A-TP53-CDK1-PCNA complex	None	None	TP53;CDK1;CDKN1A;
tRNA Splicing Ligase Complex	None	"tRNA-splicing ligase complex;RNA splicing, via endonucleolytic cleavage and ligation"	FAM98B;DDX1;C2ORF49;C14ORF166;RTCB;
DDX11-RAD21-SMC1A-SMC3 complex	None	sister chromatid cohesion	RAD21;SMC1A;DDX11;SMC3;
DDX11-Ctf18-RFC complex	None	helicase activity;sister chromatid cohesion	WDHD1;PCNA;ESCO1;CHTF18;DDX11;DSCC1;
Hoxa9-Meis1-Pbx3 complex	transcriptional control;DNA binding	"regulation of transcription, DNA-templated;transcription factor activity, sequence-specific DNA binding;DNA binding"	PBX3;HOXA9;MEIS1;
DDX27-PeBoW complex	rRNA processing;nucleolus	rRNA processing;nucleolus	PES1;BOP1;DDX27;WDR12;
RAB27A-SLP3-KLC1 transport complex	None	cytotoxic T cell degranulation	RAB27A;KLC1;SYTL3;
protein complex (DDX28; DHX30; GRSF1; FASTKD2; FASTKD5)	None	None	GRSF1;DHX30;FASTKD5;DDX28;FASTKD2;
DEAF1- complex	nucleus	nucleus	DEAF1;XRCC6;XRCC5;
CABP1-CACNA1C complex	None	regulation of voltage-gated calcium channel activity;postsynaptic density	CABP1;CACNA1C;
P300\u2013Clock\u2013Bmal1 complex	nucleus	regulation of circadian rhythm;nucleus	EP300;CLOCK;ARNTL;
AATF-NGDN-NOL10 complex	None	regulation of ribosome biogenesis	NGDN;NOL10;AATF;
MSP58-RINT1 complex	None	regulation of ribosome biogenesis	RINT1;MCRS1;
mGluR1-mGluR5 complex	None	G-protein coupled glutamate receptor signaling pathway	GRM1;GRM5;
Slp1-Rab27b-Crmp2 complex	None	axon guidance	DPYSL2;SYTL1;RAB27B;
NLRP1 inflammasome	None	interleukin-1-mediated signaling pathway	CASP1;CASP5;NLRP1;PYCARD;
Dlg4-Dlgap1-Shank1 complex	None	postsynaptic density assembly	DLG4;DLGAP1;SHANK1;
MEKK2-MEK5alpha complex	None	regulation of ERK5 cascade	MAP2K5;MAP3K2;
ERK5-MEK5 complex	None	regulation of ERK5 cascade	MAP2K5;MAPK7;
DLG4-DLGAP1-SHANK3 complex	None	None	DLGAP1;DLG4;SHANK3;
DLG4-DLGAP1-SHANK2 complex	None	None	DLG4;DLGAP1;SHANK2;
NLRP3 inflammasome	None	interleukin-1-mediated signaling pathway	CASP1;NLRP3;PYCARD;CARD8;
NLRP2 inflammasome	None	interleukin-1-mediated signaling pathway	CASP1;NLRP2;PYCARD;CARD8;
PDC-GNGT1-GNB1 complex	visual transduction	visual perception	PDC;GNB1;GNGT1;
Dystrophin complex (Dmd; Snta1)	None	None	DMD;SNTA1;
Dystrophin complex (Dmd; Stnb1)	None	None	DMD;SNTB1;
"Utrophin complex (Utrn, Stnb1)"	None	None	UTRN;SNTB1;
BAX-DNAJA1-HSPA1B complex	anti-apoptosis	negative regulation of apoptotic process	BAX;HSPA1B;DNAJA1;
BAX-DNAJA2-HSPA1B complex	anti-apoptosis	negative regulation of apoptotic process	BAX;DNAJA2;HSPA1B;
Ribosome-associated complex (RAC)	None	ribosome binding	HSPA14;DNAJC2;
"Elongator complex (ELP1, ELP2, ELP3, ELP4, ELP5, ELP6)"	None	regulation of transcription from RNA polymerase II promoter	IKBKAP;ELP6;ELP2;ELP5;ELP4;ELP3;
Nav1.2-beta2 complex	None	None	SCN2B;SCN2A;
Afadin-beta-catenin complex	None	cell-cell adhesion;adherens junction organization	CTNNB1;AFDN;
PKA-RII-AKAP18gamma complex	None	None	AKAP7;PRKACA;PRKAR2A;PRKACB;
CTNNB1-DNMT1 complex	DNA methylation	regulation of Wnt signaling pathway;DNA methylation	DNMT1;CTNNB1;
Amot-cadherin-11-beta-catenin-p120 complex	None	regulation of cell migration	CTNND1;CTNNB1;CDH11;AMOT;
NRF2- Axin1-GSK-3beta-TrCP  complex	None	cell redox homeostasis	AXIN1;BTRC;NFE2L2;GSK3B;
beta-catenin-B-cell lymphoma 9 protein  complex	None	regulation of Wnt signaling pathway	BCL9;CTNNB1;
PITX2-MLL4-ASH2L-RBBP5-PTIP complex	None	regulation of cell differentiation	KMT2D;RBBP5;PAXIP1;PITX2;ASH2L;
PAK1-betaPIX-GIT1-paxillin complex	None	None	PXN;PAK1;ARHGEF7;GIT1;
Jade-1-NPHP4 complex	None	negative regulation of Wnt signaling pathway	NPHP4;JADE1;
SETD7-YAP-AXIN1-beta-catenin complex	None	regulation of Wnt signaling pathway;regulation of hippo signaling	AXIN1;CTNNB1;YAP1;SETD7;
TNF-R1-associated signaling complex	NIK-I-kappaB/NF-kappaB cascade	I-kappaB kinase/NF-kappaB signaling	IKBKB;CHUK;MAP3K7;TNF;TNFRSF1A;TRAF2;BIRC3;RIPK1;TNIP1;TRADD;TAB1;RNF31;RBCK1;TAB2;IKBKG;
ZNF304-corepressor complex	DNA methylation;DNA binding;nucleus	DNA methylation;DNA binding;nucleus;positive regulation of methylation-dependent chromatin silencing	DNMT1;TRIM28;SETDB1;ZNF304;
TrkB-Slp1-Rab27b-Crmp2-Kinesin-1 complex	None	anterograde axonal transport;brain-derived neurotrophic factor receptor signaling pathway	KLC1;DPYSL2;KIF5B;SYTL1;NTRK2;KIF5A;RAB27B;
TNF-R1 signaling complex	NIK-I-kappaB/NF-kappaB cascade	I-kappaB kinase/NF-kappaB signaling	TNF;TNFRSF1A;TRAF2;RIPK1;TRADD;
G-protein-coupled receptor (GABBR1; GABBR2)	None	GABA receptor complex;GABA receptor activity	GABBR2;GABBR1;
Tubulin-Crmp2-Klc1 complex	None	axonogenesis;axis elongation	KLC1;DPYSL2;TUBA1A;TUBA1B;
LGR5\u2013Rspo2\u2013Znrf3 complex	None	regulation of Wnt signaling pathway	LGR5;ZNRF3;RSPO2;
PKP1-ZO-1 complex	cell adhesion	cell adhesion;regulation of odontogenesis;ameloblast differentiation	TJP1;PKP1;
FoxM1-Axin-GSK3beta complex	None	None	AXIN1;GSK3B;FOXM1;
Sox4-beta-catenin-p300 complex	None	positive regulation of sequence-specific DNA binding transcription factor activity	CTNNB1;SOX4;EP300;
Metabotropic glutamate receptor 1 complex	None	glutamate receptor activity	GRM1;
Metabotropic glutamate receptor 2 complex	None	glutamate receptor activity	GRM2;
Metabotropic glutamate receptor 4 complex	None	glutamate receptor activity	GRM4;
Metabotropic glutamate receptor 7 complex	None	glutamate receptor activity	GRM7;
RHAMM-beta-catenin complex	None	regulation of cell proliferation	HMMR;CTNNB1;
Metabotropic glutamate receptor 8 complex	None	glutamate receptor activity	GRM8;
PDK1-beta-catenin complex	None	None	PDPK1;CTNNB1;
PDLIM1-E-cadherin-beta-catenin complex	None	regulation of protein complex stability	PDLIM1;CDH1;CTNNB1;
mGluR2-mGluR4 complex	None	glutamate receptor activity	GRM2;GRM4;
OVOL2-beta-catenin-TCF4 complex	None	regulation of canonical Wnt signaling pathway	TCF4;CTNNB1;OVOL2;
Synexin-sorcin complex	None	chromaffin granule;chromaffin granule membrane	ANXA7;SRI;
"MCC complex (p85alpha, p110alpha, Akt,14-3-3theta, beta-catenin)"	None	regulation of inflammatory response	PIK3R1;AKT1;PIK3CA;YWHAZ;CTNNB1;
mGluR2-mGluR7 complex	None	glutamate receptor activity	GRM2;GRM7;
mGluR2-mGluR8 complex	None	glutamate receptor activity	GRM8;GRM2;
mGluR3-mGluR4 complex	None	glutamate receptor activity	GRM3;GRM4;
mGluR3-mGluR7 complex	None	glutamate receptor activity	GRM7;GRM3;
mGluR3-mGluR8 complex	None	glutamate receptor activity	GRM8;GRM3;
GABAB core receptor	gamma-aminobutyric acid signalling pathway	gamma-aminobutyric acid signaling pathway;G-protein coupled GABA receptor complex	GABBR2;KCTD8;KCTD16;KCTD12;KCTD12B;GABBR1;
MiDAC complex	None	None	HDAC1;ELMSAN1;HDAC2;DNTTIP1;
Calcineurin-FKBP12 complex	Ca2+ mediated signal transduction	calcium-mediated signaling;calcineurin complex;calmodulin binding;phosphatase activity	FKBP1A;PPP3R1;PPP3CA;
PEF1-ALG2 complex	cytoplasm	response to calcium ion;cytoplasm	PDCD6;PEF1;
Calcineurin (subunit CnA) -Cacng8 complex	receptor binding	receptor activity;receptor binding;transmembrane transport;calcium channel activity	PPP3CA;CACNG8;
Dlg4-Cacng8 complex	None	calcium channel activity;receptor activity;transmembrane transport	DLG4;CACNG8;
Cacng8-Gria1-Gria2 complex	None	receptor activity;transmembrane transport;glutamate receptor activity;calcium channel activity	GRIA1;GRIA2;CACNG8;
Cacng2-Gria1-Gria2 complex	None	receptor activity;transmembrane transport;glutamate receptor activity;calcium channel activity	GRIA1;GRIA2;CACNG2;
NPHP1-NPHP4-BCAR1 complex	cell-matrix adhesion	cell-cell adhesion;cell-matrix adhesion;cell division	NPHP1;NPHP4;BCAR1;
Dlg4-Cacng2 complex	None	receptor activity;transmembrane transport;calcium channel activity	DLG4;CACNG2;
Nphp1-Ptk2b-Bcar1-tensin complex	cell-matrix adhesion	phosphorylation;cell-matrix adhesion	BCAR1;TNS2;PTK2B;NPHP1;
Calcineurin (subunit CnA)-Cacng8-Tuba1a complex	receptor binding	receptor activity;receptor binding;transmembrane transport;calcium channel activity	PPP3CA;TUBA1A;CACNG8;
"Calcineurin complex (Calna, Cna2, Gria1, Gria2, Cacng8)"	None	receptor activity;transmembrane transport;calcium channel activity;glutamate receptor activity	GRIA1;GRIA2;PPP3R1;PPP3CA;CACNG8;
Dlg4-Cacng8-Calna complex	None	calcium channel activity;transmembrane transport	DLG4;PPP3CA;CACNG8;
Ship1-Hdac1-Hspa2-Kctd19 complex	nucleus	nucleus;spermatogenesis;chromatin remodeling	HDAC1;HSPA2;KCTD19;INPP5D;
CORVET complex	None	CORVET complex;vesicle tethering;endosomal vesicle fusion	VPS8;TGFBRAP1;VPS33A;VPS16;VPS11;VPS18;
HOPS complex	None	HOPS complex;vesicle tethering;endosomal vesicle fusion	VPS41;VPS33A;VPS39;VPS16;VPS11;VPS18;
Endosomal targeting complex (VIPAS39-VPS33B)	None	endosomal vesicle fusion;vesicle tethering	VPS33B;VIPAS39;
KCTD12-GNB1-GNG2 complex	None	desensitization of G-protein coupled receptor protein signaling pathway	GNG2;GNB1;KCTD12;
KCTD8-GNB1-GNG2 complex	G-protein coupled receptor signalling pathway	G-protein coupled receptor signaling pathway	GNG2;GNB1;KCTD8;
KCTD16-GNB1-GNG2 complex	G-protein coupled receptor signalling pathway	G-protein coupled receptor signaling pathway	GNG2;GNB1;KCTD16;
CNOT1-CNOT2-CNOT3 complex	transcriptional control	"regulation of transcription, DNA-templated;gene silencing by miRNA;regulation of post-translational protein modification"	CNOT1;CNOT3;CNOT2;
4E-T-DDX6-CNOT1 complex	None	negative regulation of translation;regulation of deadenylation-independent decapping of nuclear-transcribed mRNA	CNOT1;DDX6;EIF4ENIF1;
DNJC3-DNAJB1-HSPA8 complex	None	PKR signal transduction	HSPA8;DNAJB1;DNAJC3;
Dnajc5-Sgta complex	None	membrane;trans-Golgi network	DNAJC5;HSPA8;SGTA;
Dnajc5b-Sgta-Hsc70 complex	synaptic transmission	vesicle;membrane;synaptic transmission	HSPA8;SGTA;DNAJC5B;
DNAJC7-HSPA8-HSP90AA1 complex	heat shock response	ATP-independent chaperone mediated protein folding;response to heat	HSP90AA1;HSPA8;DNAJC7;
AnkG-PKP2-Cx43 complex	None	intercalated disc	PKP2;ANK3;GJA1;
Cr16-N-WASP complex	None	growth cone	WASL;WIPF3;
NMNAT2-HSP90 complex	None	chaperone-mediated protein folding;protein refolding	HSP90AA1;NMNAT2;
MST1-SAV1 complex	None	cilium assembly	STK4;SAV1;
MST2-SAV1 complex	None	cilium assembly	STK3;SAV1;
MITRAC12-SURF1-COX1 complex	mitochondrion;mitochondrial inner membrane;translation	mitochondrion;mitochondrial inner membrane;translation	MT-CO1;SURF1;COA3;
Rgs4-Mor complex	None	opioid receptor signaling pathway	OPRM1;RGS4;
Vangl1-Vangl2 complex	None	cochlea development	VANGL1;VANGL2;
p85alpha-SHP2-Gab2 complex	None	regulation of phosphatidylinositol 3-kinase signaling	PTPN11;PIK3R1;GAB2;
BACE1-UBB complex	None	regulation of beta-amyloid formation	UBB;BACE1;
MITRAC7-COX1 complex	mitochondrion	mitochondrion;cytochrome c biosynthetic process	MT-CO1;SMIM20;
TRIM31-MAGEA1-NSE4 complex	transcriptional control	"regulation of transcription, DNA-templated"	MAGEA1;TRIM31;NSMCE4A;
AURKA-HDAC6 cilia-disassembly complex	None	cilium disassembly	AURKA;HDAC6;
PDGFB-PDGFRB complex	None	platelet-derived growth factor receptor-beta signaling pathway	PDGFB;PDGFRB;
RIPK1-FADD-caspase-8 complex	None	ripoptosome;regulation of extrinsic apoptotic signaling pathway;regulation of necroptotic process	FADD;RIPK1;CASP8;
pallidin-Cappuccino-BLOS1 complex	None	None	BLOC1S1;BLOC1S4;BLOC1S6;
dysbindin-Snapin-BLOS2 complex	None	None	SNAPIN;BLOC1S2;DTNBP1;
Fibrinogen complex	None	platelet activation	FGA;FGB;FGG;
C1q complex	immune response;complement response;innate immune response (invertebrates and vertebrates)	"immune system process;immune response;complement activation;complement activation, classical pathway;innate immune response"	C1QA;C1QB;C1QC;
Bcl2l1-Dnm1l complex	None	synaptic vesicle endocytosis;synaptic vesicle membrane;regulation of synaptic plasticity	DNM1L;BCL2L1;
Bcl2l1-Dnm1l-Mff-Clta complex	None	clathrin-coated pit;synaptic vesicle	DNM1L;CLTA;BCL2L1;MFF;
DNTTIP1-ZNF541-HDAC1-HDAC2 complex	None	histone deacetylase complex;histone deacetylase activity	HDAC1;HDAC2;ZNF541;DNTTIP1;
SETDB1-DNMT3A complex	transcriptional control	"transcriptional repressor complex;regulation of transcription, DNA-templated"	SETDB1;DNMT3A;
SETDB1-DNMT3B complex	None	None	SETDB1;DNMT3B;
FOXO1-CREB1 complex	transcriptional control	"regulation of transcription, DNA-templated"	CREB1;FOXO1;
FOXO1-ATF4 complex	transcriptional control	"regulation of transcription, DNA-templated"	ATF4;FOXO1;
ATF4-CREB1 complex	transcriptional control	"regulation of transcription, DNA-templated"	CREB1;ATF4;
